1036,40C,D,HEVENT27,Event channel 27,Multi-Tac,Statewide Event,1
1037,40D,D,HEVENT28,Event channel 28,Multi-Tac,Statewide Event,1
1038,40E,D,HEVENT29,Event channel 29,Multi-Tac,Statewide Event,1
1039,40F,D,HEVENT30,Event channel 30,Multi-Tac,Statewide Event,1
1040,410,D,D1NORTH,Central Region Dispatch Posts 11  12,Law Dispatch,State Police District 1  CentralSouth Region,1
1041,411,D,D1SOUTH,South Region Dispatch Posts 13  14,Law Dispatch,State Police District 1  CentralSouth Region,1
1042,412,D,D1LEIN,SouthCentral Region LEIN,Law Dispatch,State Police District 1  CentralSouth Region,1
1043,413,D,D3LEIN,ThumbTriCities Region LEIN,Law Talk,State Police District 3  ThumbTriCities Region,1
1044,414,D,D1SPARE1,SouthCentral Posts 11 12 13 14 Spare 1,Law Tac,State Police District 1  CentralSouth Region,1
1045,415,D,D1SPARE2,SouthCentral Posts 11 12 13 14 Spare 2,Law Tac,State Police District 1  CentralSouth Region,1
1047,417,D,CSRT1,Crime Scene Response Team 1,Law Tac,State Police  Statewide,1
1048,418,D,CSRT2,Crime Scene Response Team 2,Law Tac,State Police  Statewide,1
1050,41A,D,Region 3,Region 3  Districtwide,Law Talk,State Police District 3  ThumbTriCities Region,1
1051,41B,D,D12POST,Post 12 Brighton Motor Carrier Enforcement,Law Talk,State Police District 1  CentralSouth Region,1
1053,41D,D,MC13,Post 13 Jackson Motor Carrier Enforcement,Law Talk,State Police District 1  CentralSouth Region,1
1068,42C,D,SWCID1,District  1 Statewide CID ,Law Tac,State Police  CentralSouth Region CID,1
1069,42D,D,SWCID2,District  2 Statewide CID  ,Law Tac,State Police  Detroit TriCounty Area CID,1
1070,42E,D,MSP CID,CID,Law Tac,State Police  CentralSouth Region CID,1
1071,42F,D,MSP CID HQ 1,CID HQ 1,Law Tac,State Police  CentralSouth Region CID,1
1072,430,D,MSP CID,CID,Law Tac,State Police  CentralSouth Region CID,1
1073,431,D,MSP CID,CID,Law Tac,State Police  CentralSouth Region CID,1
1074,432,DE,MSP CID,CID,Law Tac,State Police  CentralSouth Region CID,1
1075,433,DE,TRI CO NARC1,TriCounty Metro Narcotics Squad 1,Law Tac,State Police  CentralSouth Region CID,1
1076,434,DE,TRI CO NARC2,TriCounty Metro Narcotics Squad 2,Law Tac,State Police  CentralSouth Region CID,1
1077,435,DE,TRI CO NARC3,TriCounty Metro Narcotics Squad 3,Law Tac,State Police  CentralSouth Region CID,1
1078,436,D,TRI CO NARC4,TriCounty Metro Narcotics Squad 4,Law Tac,State Police  CentralSouth Region CID,1
1080,438,DE,MSP CID,CID ,Law Tac,State Police  CentralSouth Region CID,1
1081,439,DE,MSP CID,CID,Law Tac,State Police  CentralSouth Region CID,1
1082,43A,DE,MSP CID,CID,Law Tac,State Police  ThumbTriCities Region CID,1
1083,43B,DE,MSP CID,CID,Law Tac,State Police  ThumbTriCities Region CID,1
1084,43C,DE,MSP CID,CID,Law Tac,State Police  ThumbTriCities Region CID,1
1085,43D,DE,MSP CID,CID,Law Tac,State Police  ThumbTriCities Region CID,1
1086,43E,DE,MSP CID,CID,Law Tac,State Police  ThumbTriCities Region CID,1
1087,43F,De,BAYANET 1,Bay Area Narcotics Enforcement Team 1,Law Tac,State Police  ThumbTriCities Region CID,1
1088,440,De,BAYANET 2,Bay Area Narcotics Enforcement Team 2,Law Tac,State Police  ThumbTriCities Region CID,1
1089,441,De,BAYANET 3,Bay Area Narcotics Enforcement Team 3,Law Tac,State Police  ThumbTriCities Region CID,1
1090,442,De,MSP CID,CID,Law Tac,State Police  ThumbTriCities Region CID,1
1093,445,D,78P911,Central 911 Police  Dispatch,Law Dispatch,Shiawassee County 78 Law Enforcement,1
1094,446,De,NCCTECH1,NCC Technicians,Public Works,MPSCS Technicians,1
1097,449,D,TRAIN3,Training Academy Driver Training 3,Law Talk,State Police District 1  CentralSouth Region,1
1098,44A,D,TRAIN2,Training Academy Driver Training 2,Law Talk,State Police District 1  CentralSouth Region,1
1099,44B,D,TRAIN1,Training Academy Driver Training 1,Law Talk,State Police District 1  CentralSouth Region,1
1100,44C,DE,GOV1,Governors Security Detail 1,Law Talk,State Police  Statewide,1
1101,44D,DE,GOV2,Governors Security Detail 2,Law Talk,State Police  Statewide,1
1102,44E,D,23COM,Countywide Common Mutual Aid all agencies ,Interop,Eaton County 23,1
1105,451,D,DNR STATW,Statewide,Law Dispatch,State Dept of Natural Resources  Statewide,1
1107,453,D,06P911,Central 911 Police  Dispatch,Law Dispatch,Arenac County 06,1
1108,454,D,RAP1,RAP 1 Report All Poaching,Law Tac,State Dept of Natural Resources  Statewide,1
1109,455,D,RAP2,RAP 2 Report All Poaching,Law Tac,State Dept of Natural Resources  Statewide,1
1110,456,D,RAP3,RAP 3 Report All Poaching,Law Tac,State Dept of Natural Resources  Statewide,1
1111,457,D,DNR8COM,District 8 Common,Law Talk,State Dept of Natural Resources  District 8,1
1112,458,D,DNR09,District 9 Dispatch,Law Dispatch,State Dept of Natural Resources  District 9,1
1134,46E,D,19A891C,Airport Maint,Public Works,Clinton County 19 Capital Region Airport Authority,1
1135,46F,D,MNGCOM,National Guard Common,Military,Michigan National Guard,1
1136,470,D,MSEOC1,EOC 1,Military,Michigan National Guard,1
1137,471,D,MSEOC2,EOC 2,Military,Michigan National Guard,1
1138,472,D,TASK1,Tactical,Military,Michigan National Guard,1
1139,473,D,TASK2,Tactical,Military,Michigan National Guard,1
1140,474,D,MAJCOM1,Tactical,Military,Michigan National Guard,1
1141,475,D,ANG,Tactical,Military,Michigan National Guard,1
1142,476,D,MAINTSW,Maintenance Statewide,Military,Michigan National Guard,1
1143,477,D,MAMAN03,Tactical 3,Military,Michigan National Guard,1
1144,478,D,MAMAN04,Tactical 4,Military,Michigan National Guard,1
1145,479,D,MAMAN05,Tactical 5,Military,Michigan National Guard,1
1146,47A,D,MAMAN06,Tactical 6,Military,Michigan National Guard,1
1147,47B,D,MAMAN07,Tactical 7,Military,Michigan National Guard,1
1148,47C,D,MAMAN08,Tactical 8 Fort Custer area,Military,Michigan National Guard,1
1149,47D,D,DOCSCOM,Southern Region Common,Corrections,State Dept of Corrections  Southern Region,1
1150,47E,D,DOC2901,Gratiot County 1,Corrections,State Dept of Corrections  Northern Region,1
1153,481,D,DOC4701,Livingston 1,Corrections,State Dept of Corrections  Southern Region,1
1154,482,D,DOC29,Gratiot County,Corrections,State Dept of Corrections  Northern Region,1
1156,484,D,DOC4602,Lenawee 2,Corrections,State Dept of Corrections  Southern Region,1
1157,485,D,DOC4702,Livingston 2,Corrections,State Dept of Corrections  Southern Region,1
1158,486,D,D3NORTH,TriCities Region Dispatch Posts 31 32,Law Dispatch,State Police District 3  ThumbTriCities Region,1
1159,487,DE,TECH1,District 1 Technicians,Public Works,MPSCS Technicians,1
1160,488,D,TECH3,District 3 Technicians,Public Works,MPSCS Technicians,1
1161,489,DE,SW TECH,Statewide Tech,Public Works,MPSCS Technicians,1
1162,48A,D,SEOCD2N,State EOC  District 2 North,Emergency Ops,State Police  Emergency Management and Homeland Security,1
1163,48B,D,D11POST,Post 11 Lansing,Law Talk,State Police District 1  CentralSouth Region,1
1165,48D,D,23DRUG,Countywide Narcotics Enforcement Common,Law Tac,Eaton County 23,1
1167,48F,D,29DRUG,Countywide Narcotics Enforcement Common,Law Tac,Gratiot County 29,1
1168,490,D,30DRUG,Countywide Narcotics Enforcement Common,Law Tac,Hillsdale County 30,1
1170,492,D,35DRUG,Countywide Narcotics Enforcement Common,Law Tac,Iosco County 35,1
1171,493,D,38DRUG,Countywide Narcotics Enforcement Common,Law Tac,Jackson County 38 Law Enforcement,1
1172,494,D,D14POST,Post 14 Monroe,Law Talk,State Police District 1  CentralSouth Region,1
1175,497,D,D32POST,Post 32 West Branch Post Channel,Law Talk,State Police District 3  ThumbTriCities Region,1
1176,498,D,46COM,Countywide Common Mutual Aid all agencies ,Interop,Lenawee County 46,1
1177,499,D,D35CRNA,Post 35 Corunna Detachment,Law Talk,State Police District 3  ThumbTriCities Region,1
1180,49C,D,33COM,Countywide Common Mutual Aid all agencies ,Interop,Ingham County 33,1
1181,49D,D,30P911,Central 911 Police Dispatch Patched from 155310 MHz,Law Dispatch,Hillsdale County 30,1
1184,4A0,D,30COM,Countywide Common Mutual Aid all agencies  ,Interop,Hillsdale County 30,1
1185,4A1,D,78DRUG,Countywide Narcotics Enforcement Common,Law Tac,Shiawassee County 78 Law Enforcement,1
1191,4A7,D,19P911,Sheriff Dispatch,Law Dispatch,Clinton County 19,1
1192,4A8,D,MW TECHS,Microwave Techs,Public Works,MPSCS Technicians,1
1193,4A9,D,19LAW1,Sheriff Tactical,Law Tac,Clinton County 19,1
1195,4AB,D,FEDCOM,Federal Common Mutual Aid for all federal agencies,Federal,Federal Government  CommonEvent,1
1196,4AC,D,DEMOTG1,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1197,4AD,D,DEMOTG2,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1198,4AE,D,DEMOTG3,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1199,4AF,D,DEMOCOM,Tech Training  System demo channel Common,Public Works,MPSCS Demonstration,1
1200,4B0,D,D1POSTS,SouthCentral Region Districtwide,Law Dispatch,State Police District 1  CentralSouth Region,1
1201,4B1,D,DEMOTG1,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1202,4B2,D,DEMOTG2,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1203,4B3,D,DEMOTG3,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1204,4B4,D,D12POST,Post 12 Brighton CartoCar,Law Talk,State Police District 1  CentralSouth Region,1
1205,4B5,D,D11DETC,Post 11 State Capitol Detachment,Law Talk,State Police District 1  CentralSouth Region,1
1206,4B6,D,33SPRRW,Sparrow Hospital,Hospital,Ingham County 33,1
1209,4B9,D,33HPCOM,Hospital Common,Hospital,Ingham County 33,1
1210,4BA,D,33P911,Central 911 Police  Dispatch Patched from Ingham Co TRS,Law Dispatch,Ingham County 33,1
1211,4BB,D,EMMD1,District 1,Emergency Ops,State Police  Emergency Management and Homeland Security,1
1212,4BC,D,EMMD3,District 3,Emergency Ops,State Police  Emergency Management and Homeland Security,1
1217,4C1,D,FMLP,Forest Management Lower Peninsula,Law Talk,State Dept of Natural Resources  Statewide,1
1218,4C2,D,35P911,Central 911 Police Dispatch,Law Dispatch,Iosco County 35,1
1219,4C3,D,35COM,Countywide Common Mutual Aid all agencies ,Interop,Iosco County 35,1
1220,4C4,D,MAJCOM2,Tactical,Military,Michigan National Guard,1
1221,4C5,D,MAJCOM3,Tactical,Military,Michigan National Guard,1
1222,4C6,D,MAJCOM4,Tactical,Military,Michigan National Guard,1
1223,4C7,D,RAID,Tactical,Military,Michigan National Guard,1
1224,4C8,D,CST,Ft Custer Tactical,Military,Michigan National Guard,1
1225,4C9,D,FCADM,Ft Custer Admin,Military,Michigan National Guard,1
1226,4CA,D,FCRC,Ft Custer Range Control,Military,Michigan National Guard,1
1227,4CB,D,CGADM,Tactical,Military,Michigan National Guard,1
1228,4CC,D,CGRCOP1,Camp Grayling Ops 1,Military,Michigan National Guard,1
1229,4CD,D,ROSELK8,Rose Lake Research Lab,Law Talk,State Dept of Natural Resources  District 8,1
1230,4CE,D,FMGLADW,Gladwin FMU,Law Talk,State Dept of Natural Resources  District 5,1
1234,4D2,DE,RPU TECH,Radio Programming Unit,Public Works,MPSCS Technicians,1
1236,4D4,D,DOCSW,Statewide,Corrections,State Dept of Corrections  Statewide,1
1237,4D5,D,38P911,Central 911 Police County Dispatch,Law Dispatch,Jackson County 38 Law Enforcement,1
1238,4D6,D,38COM,Countywide Common Mutual Aid all agencies ,Interop,Jackson County 38 CommonInterop,1
1241,4D9,D,SWCID3,District  3 Statewide CID ,Law Tac,State Police  ThumbTriCities Region CID,1
1242,4DA,D,D3POSTS,ThumbTriCities Region Districtwide,Law Talk,State Police District 3  ThumbTriCities Region,1
1243,4DB,D,D3SOUTH,Thumb Region Dispatch Posts 33 34 35,Law Dispatch,State Police District 3  ThumbTriCities Region,1
1244,4DC,De,ESCALL1,ESU Statewide 1,Law Tac,State Police  Statewide,1
1245,4DD,De,ESCALL2,ESU Statewide 2,Law Tac,State Police  Statewide,1
1246,4DE,DE,ESTRAIN1,ESU Training 1,Law Tac,State Police  Statewide,1
1247,4DF,DE,ESTRAIN2,ESU Training 2,Law Tac,State Police  Statewide,1
1248,4E0,De,ESUTAC1,ESU Tactical 1,Law Tac,State Police  Statewide,1
1249,4E1,DE,ESUTAC2,ESU Tactical 2,Law Tac,State Police  Statewide,1
1251,4E3,D,RAP4,RAP 4 Report All Poaching,Law Tac,State Dept of Natural Resources  Statewide,1
1252,4E4,D,RAP5,RAP 5 Report All Poaching,Law Tac,State Dept of Natural Resources  Statewide,1
1253,4E5,D,DNR25,Investigations,Law Tac,State Dept of Natural Resources  Statewide,1
1255,4E7,D,35P911,Central 911 Police Dispatch,Law Dispatch,Iosco County 35,1
1256,4E8,D,29P911,Central 911 Police  Dispatch ,Law Dispatch,Gratiot County 29,1
1257,4E9,D,56P911,Central 911 Police County Dispatch,Law Dispatch,Midland County 56 Law Enforcement,1
1258,4EA,D,23P911,Central 911 Police Dispatch Patched to 460425 MHz,Law Dispatch,Eaton County 23,1
1260,4EC,D,46P911,Central 911 Police Dispatch Patched to 155190 MHz,Law Dispatch,Lenawee County 46,1
1261,4ED,D,SOD SO24,Aviation Division  K9 Teams,Law Tac,State Police  Statewide,1
1262,4EE,D,K91 SO25,Aviation Division  K9 Teams,Law Tac,State Police  Statewide,1
1264,4F0,DE,33SOS1,Lansing Police  Sting Ops,Law Tac,Ingham County 33,1
1265,4F1,DE,33SOS2,Lansing Police  Sting Ops,Law Tac,Ingham County 33,1
1266,4F2,DE,33SOS3,Lansing Police  Sting Ops,Law Tac,Ingham County 33,1
1272,4F8,D,FWSLP1,US Fish and Wildlife Service Lower Peninsula 1,Federal,Federal Government,1
1273,4F9,D,26P911,Central 911 Police  Dispatch ,Law Dispatch,Gladwin County 26,1
1280,500,D,FWSSNWR,US Fish and Wildlife Service Shiawassee NWR,Federal,Federal Government,1
1281,501,D,33SCLM1,Maintenance Techs for State Crime Labs,Public Works,State Government,1
1282,502,D,33TECH1,Maintenance Techs,Public Works,State Government,1
1283,503,D,33MHJ1,Michigan Hall of Justice Lansing  Security 1,Law Talk,State Government,1
1284,504,D,33MHJ2,Michigan Hall of Justice Lansing  Security 2,Law Talk,State Government,1
1285,505,D,HAYES8,Hayes State Park Irish Hills,Law Talk,State Dept of Natural Resources  District 8,1
1286,506,D,SLEEPY8,Sleepy Hollow State Park,Law Talk,State Dept of Natural Resources  District 8,1
1287,507,D,NEGWEG5,Negwegon State Park South Point,Law Talk,State Dept of Natural Resources  District 5,1
1288,508,D,RRREC5,Rifle River Rec Area,Law Talk,State Dept of Natural Resources  District 5,1
1289,509,D,SWFM,Statewide Forest Management,Law Talk,State Dept of Natural Resources  Statewide,1
1292,50C,D,MDOTCOM,Statewide Common,Public Works,State DOT MDOT  Statewide,1
1295,50F,D,35F911,Central 911 Fire Dispatch,Fire Dispatch,Iosco County 35,1
1298,512,D,UPBIRD,Upper Peninsula  Bird Mgmt,Law Talk,State Dept of Natural Resources  Statewide,1
1299,513,D,FMUP,Upper Peninsula,Law Talk,State Dept of Natural Resources  Statewide,1
1302,516,D,ALLEGAN7,Allegan area,Law Talk,State Dept of Natural Resources  District 7,1
1304,518,D,USFS,US Forest Service,Federal,Federal Government,1
1306,51A,D,CHOPHP1,Office of Public Health Preparedness District 1,Hospital,State Dept of Community Health,1
1307,51B,D,COPHPR2S,Office of Public Health Preparedness District 2 South,Hospital,State Dept of Community Health,1
1308,51C,D,COPHP3,Office of Public Health Preparedness District 3,Hospital,State Dept of Community Health,1
1309,51D,D,CHREG5,Region 5 Network,Hospital,State Dept of Community Health,1
1310,51E,D,CHCOM,Community Health Dept Common,Hospital,State Dept of Community Health,1
1312,520,D,CHDET,Detroit MD,Hospital,State Dept of Community Health,1
1315,523,D,LAB5,Kalamazoo Crime Lab,Law Tac,State Police  Southwest Region CID,1
1319,527,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1320,528,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1321,529,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1325,52D,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1326,52E,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1327,52F,D,DYN07,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1328,530,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1329,531,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1330,532,D,DEMOTG,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1331,533,D,DYNRGRP,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1335,537,D,AGUTAC1,SAG Tac 1,Law Tac,State Attorney General,1
1336,538,D,AGUTAC2,SAG Tac 2,Law Tac,State Attorney General,1
1337,539,D,AGUTAC3,SAG Tac 3,Law Tac,State Attorney General,1
1338,53A,D,AGUTAC4,SAG Tac 4,Law Tac,State Attorney General,1
1339,53B,D,AGUTAC5,SAG Tac 5,Law Tac,State Attorney General,1
1340,53C,D,AGUTAC6,SAG Tac 6,Law Tac,State Attorney General,1
1342,53E,D,D11CAP,Post 11 State Capitol CapitolSenate Security Ops,Law Dispatch,State Police District 1  CentralSouth Region,1
1344,540,D,33SCM1,State Capitol Maintenance,Public Works,State Government,1
1346,542,D,CAPCOM,State Capitol Common,Interop,State Police District 1  CentralSouth Region,1
1348,544,D,AGUTAC7,SAG Tac 7,Law Tac,State Attorney General,1
1349,545,D,AGUTAC8,SAG Tac 8,Law Tac,State Attorney General,1
1350,546,D,AGUTAC9,SAG Tac 9,Law Tac,State Attorney General,1
1351,547,D,AGUTAC10,SAG Tac 10,Law Tac,State Attorney General,1
1352,548,D,AGUCOM,SAG Common,Law Tac,State Attorney General,1
1353,549,D,AGUTAC11,SAG Tac 11,Law Tac,State Attorney General,1
1361,551,D,DEMOTG7,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1362,552,D,DEMOTG8,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1363,553,D,DEMOTG9,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1364,554,D,DEMOTG10,Tech Training  System demo channel,Public Works,MPSCS Demonstration,1
1365,555,D,DEMOCOM2,Tech Training  System demo channel Common,Public Works,MPSCS Demonstration,1
1367,557,D,CHREG1,Region 1 Network,Hospital,State Dept of Community Health,1
1368,558,D,CHREGA,Region 1 Network,Hospital,State Dept of Community Health,1
1369,559,D,73LNM,LifeNet Covenant and FlightCare of St Marys Based out of Saginaw,EMS Dispatch,Statewide Aeronautical Medical,1
1375,55F,D,65DRUG,Countywide Narcotics Enforcement Common,Law Tac,Ogemaw County 65,1
1377,561,D,75LEIN,Central 911 Police LEIN Patched with 154100 MHz,Law Talk,St Joseph County 75,1
1379,563,D,75ANIMAL,Animal Control,Law Talk,St Joseph County 75,1
1383,567,D,31F911,County Fire Dispatch,Fire Dispatch,Houghton County 31,1
1387,56B,D,65CID,Sheriff Dept  Detectives,Law Talk,Ogemaw County 65,1
1388,56C,D,65PD816,West Branch Police  Private,Law Talk,Ogemaw County 65,1
1389,56D,D,65P911,Central 911 Police  Dispatch,Law Dispatch,Ogemaw County 65,1
1390,56E,D,65LEIN,Central 911 Police  LEIN,Law Dispatch,Ogemaw County 65,1
1391,56F,D,65P165,Sheriff  Road Patrol,Law Dispatch,Ogemaw County 65,1
1392,570,D,65COM,Countywide Common Mutual Aid all agencies,Interop,Ogemaw County 65,1
1393,571,D,65SPEC1,Special Events 1 Fire Tac as needed,Interop,Ogemaw County 65,1
1394,572,D,65SPEC2,Special Events 2 Fire Tac as needed,Interop,Ogemaw County 65,1
1395,573,D,IEVENT31,Event channel 31 Law Enforcement,Law Tac,Statewide Event,1
1396,574,D,IEVENT32,Event channel 32 Law Enforcement,Law Tac,Statewide Event,1
1397,575,D,IEVENT33,Event channel 33 Law Enforcement,Law Tac,Statewide Event,1
1398,576,D,IEVENT34,Event channel 34 Law Enforcement,Law Tac,Statewide Event,1
1399,577,D,IEVENT35,Event channel 35 Law Enforcement,Law Tac,Statewide Event,1
1400,578,D,IEVENT36,Event channel 36 Law Enforcement,Law Tac,Statewide Event,1
1401,579,D,IEVENT37,Event channel 37 Law Enforcement,Law Tac,Statewide Event,1
1402,57A,D,IEVENT38,Event channel 38 Law Enforcement,Law Tac,Statewide Event,1
1403,57B,D,IEVENT39,Event channel 39 Law Enforcement,Law Tac,Statewide Event,1
1404,57C,D,IEVENT40,Event channel 40 Law Enforcement,Law Tac,Statewide Event,1
1405,57D,D,IEVENT41,Event channel 41 Law Enforcement,Law Tac,Statewide Event,1
1406,57E,D,IEVENT42,Event channel 42 Law Enforcement,Law Tac,Statewide Event,1
1407,57F,D,IEVENT43,Event channel 43 Law Enforcement,Law Tac,Statewide Event,1
1408,580,D,IEVENT44,Event channel 44 Law Enforcement,Law Tac,Statewide Event,1
1409,581,D,IEVENT45,Event channel 45 Law Enforcement,Law Tac,Statewide Event,1
1410,582,D,IEVENT46,Event channel 46 Law Enforcement,Law Tac,Statewide Event,1
1411,583,D,BOMB1,Explosive Ordinance Teams 1,Law Tac,State Police  Statewide,1
1412,584,D,BOMB2,Explosive Ordinance Teams 2,Law Tac,State Police  Statewide,1
1413,585,D,BOMB3,Explosive Ordinance Teams 3,Law Tac,State Police  Statewide,1
1414,586,D,BOMB4,Explosive Ordinance Teams 4,Law Tac,State Police  Statewide,1
1415,587,D,BOMB5,Explosive Ordinance Teams 5,Law Tac,State Police  Statewide,1
1416,588,D,BOMB6,Explosive Ordinance Teams 6,Law Tac,State Police  Statewide,1
1417,589,D,BOMB7,Explosive Ordinance Teams 7,Law Tac,State Police  Statewide,1
1418,58A,D,BOMB8,Explosive Ordinance Teams 8,Law Tac,State Police  Statewide,1
1419,58B,D,BOMB9,Explosive Ordinance Teams 9,Law Tac,State Police  Statewide,1
1420,58C,D,BOMB10,Explosive Ordinance Teams 10,Law Tac,State Police  Statewide,1
1421,58D,D,BOMB11,Explosive Ordinance Teams 11,Law Tac,State Police  Statewide,1
1422,58E,D,BOMB12,Explosive Ordinance Teams 12,Law Tac,State Police  Statewide,1
1423,58F,D,BOMB13,Explosive Ordinance Teams 13,Law Tac,State Police  Statewide,1
1424,590,D,BOMB14,Explosive Ordinance Teams 14,Law Tac,State Police  Statewide,1
1425,591,D,BOMBCOM,Explosive Ordinance Teams Common,Law Tac,State Police  Statewide,1
1432,598,D,35MED1,EMStoTawas St Joseph Hospital,Hospital,Iosco County 35,1
1433,599,D,65WBRH,West Branch Regional Hospital,Hospital,Ogemaw County 65,1
1455,5AF,D,MEPSS1,Statewide Emergency 1,Interop,Statewide Regional CommonInterop,1
1456,5B0,D,MEPSS2,Statewide Emergency 2,Interop,Statewide Regional CommonInterop,1
1458,5B2,D,78COM,Countywide Common Mutual Aid all agencies ,Interop,Shiawassee County 78 CommonInterop,1
1459,5B3,D,78EMER1,Emergency 1,Interop,Shiawassee County 78 CommonInterop,1
1460,5B4,D,78SPEV1,Special Events 1,Interop,Shiawassee County 78 CommonInterop,1
1461,5B5,D,78SPEV2,Special Events 2,Interop,Shiawassee County 78 CommonInterop,1
1462,5B6,D,78OMH,Owosso Memorial Hospital EMStoHospital,Hospital,Shiawassee County 78 EMS,1
